Parent ASIN,Child ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Conversion Rate - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page View Percentage - Total,Page View Percentage - Total - B2B,Buy Box Percentage,Buy Box Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
Parent_ASIN_75,Child_ASIN_75,Product_Title_76,SKU_75,4245,105,9.07%,13.2%,5748,132,8.95%,12.34%,108.96%,109.16%,1,0,0.03%,0.0%,US$33.79,US$0.0,1,0
Parent_ASIN_9,Child_ASIN_9,Product_Title_10,SKU_9,548,9,1.17%,1.09%,772,13,1.2%,1.21%,107.8%,108.32%,97,3,19.27%,40.62%,US$2203.61,US$72.76,95,3
Parent_ASIN_68,Child_ASIN_68,Product_Title_69,SKU_68,39,1,0.08%,0.11%,53,1,0.08%,0.07%,82.98%,0.0%,2,0,3.54%,0.0%,US$47.64,US$0.0,2,0
Parent_ASIN_5,Child_ASIN_5,Product_Title_6,SKU_5,696,7,1.48%,0.87%,944,9,1.47%,0.8%,86.14%,86.24%,96,2,11.86%,21.56%,US$2199.74,US$38.59,91,2
Parent_ASIN_42,Child_ASIN_42,Product_Title_43,SKU_42,277,4,0.59%,0.51%,422,5,0.66%,0.46%,81.38%,81.38%,9,0,2.64%,0.0%,US$195.21,US$0.0,7,0
Parent_ASIN_47,Child_ASIN_47,Product_Title_48,SKU_47,25,1,0.05%,0.13%,31,1,0.05%,0.09%,100.8%,0.0%,6,0,24.19%,0.0%,US$175.09,US$0.0,6,0
Parent_ASIN_16,Child_ASIN_16,Product_Title_17,SKU_16,277,12,0.59%,1.51%,374,20,0.58%,1.89%,92.17%,92.17%,60,17,19.97%,127.62%,US$332.32,US$84.45,44,1
Parent_ASIN_45,Child_ASIN_45,Product_Title_46,SKU_45,64,1,0.14%,0.14%,119,4,0.18%,0.39%,106.5%,106.5%,7,0,12.43%,0.0%,US$702.83,US$0.0,7,0
Parent_ASIN_34,Child_ASIN_34,Product_Title_35,SKU_34,368,5,0.78%,0.59%,420,5,0.65%,0.44%,118.63%,118.63%,13,0,4.21%,0.0%,US$250.17,US$0.0,13,0
Parent_ASIN_7,Child_ASIN_7,Product_Title_8,SKU_7,733,11,1.57%,1.44%,1042,17,1.62%,1.61%,114.35%,114.65%,123,8,19.19%,80.25%,US$2694.3,US$184.18,116,5
Parent_ASIN_78,Child_ASIN_78,Product_Title_79,SKU_78,15,0,0.03%,0.0%,24,0,0.04%,0.0%,94.34%,0.0%,1,0,5.9%,0.0%,US$7.54,US$0.0,1,0
Parent_ASIN_27,Child_ASIN_27,Product_Title_28,SKU_27,160,1,0.34%,0.13%,235,1,0.36%,0.09%,100.57%,0.0%,23,3,14.55%,301.71%,US$1278.21,US$180.87,22,2
Parent_ASIN_19,Child_ASIN_19,Product_Title_20,SKU_19,470,4,1.01%,0.46%,567,5,0.88%,0.43%,91.65%,91.65%,37,0,7.15%,0.0%,US$894.31,US$0.0,35,0
Parent_ASIN_84,Child_ASIN_84,Product_Title_85,SKU_84,37,0,0.08%,0.0%,61,0,0.09%,0.0%,84.74%,0.0%,1,0,2.31%,0.0%,US$23.99,US$0.0,1,0
Parent_ASIN_25,Child_ASIN_25,Product_Title_26,SKU_25,333,9,0.71%,1.13%,445,9,0.69%,0.84%,111.1%,111.41%,30,2,10.06%,27.85%,US$783.86,US$55.54,28,2
Parent_ASIN_53,Child_ASIN_53,Product_Title_54,SKU_53,49,1,0.1%,0.15%,60,1,0.09%,0.1%,108.71%,115.79%,5,0,11.02%,0.0%,US$115.86,US$0.0,5,0
